x,y,z,ecm,duct_interior
9.000000000000000000e+01,-7.900000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
1.100000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
1.300000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
1.500000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
1.700000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
1.900000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
2.100000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
2.300000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
2.500000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,1.492537313432835688e-01,0.000000000000000000e+00
2.700000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
2.900000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
3.100000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
3.300000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
3.500000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
3.700000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
3.900000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
4.100000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
4.300000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
4.500000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,1.492537313432835688e-01,0.000000000000000000e+00
4.700000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
4.900000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
5.100000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
5.300000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
5.500000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
5.700000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
5.900000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
6.100000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,9.950248756218904589e-02,0.000000000000000000e+00
6.300000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,4.975124378109452294e-02,0.000000000000000000e+00
6.500000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,4.975124378109452294e-02,0.000000000000000000e+00
6.700000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,4.975124378109452294e-02,0.000000000000000000e+00
6.900000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,4.975124378109452294e-02,0.000000000000000000e+00
7.100000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,9.950248756218904589e-02,0.000000000000000000e+00
7.300000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
7.500000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
7.700000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
7.900000000000000000e+02,-7.900000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-7.900000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.700000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.500000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.300000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.100000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
-6.900000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,6.965174129353234322e-01,0.000000000000000000e+00
-6.700000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-6.500000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
-6.300000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-6.100000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,4.477611940298507065e-01,0.000000000000000000e+00
-5.900000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
-5.700000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-5.500000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-5.300000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
-5.100000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
-4.900000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-4.700000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,4.477611940298507065e-01,0.000000000000000000e+00
-4.500000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
-4.300000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-4.100000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,4.975124378109452294e-02,0.000000000000000000e+00
-3.900000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,9.950248756218904589e-02,0.000000000000000000e+00
-3.700000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.500000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,4.975124378109452294e-02,0.000000000000000000e+00
-3.300000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
-3.100000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
-2.900000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
-2.700000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
-2.500000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
-2.300000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
-2.100000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
-1.900000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
-1.700000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
-1.500000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
-1.300000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,4.975124378109452294e-01,0.000000000000000000e+00
-1.100000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,5.472636815920397524e-01,0.000000000000000000e+00
-9.000000000000000000e+01,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
-7.000000000000000000e+01,-7.700000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-5.000000000000000000e+01,-7.700000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-3.000000000000000000e+01,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
-1.000000000000000000e+01,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
1.000000000000000000e+01,-7.700000000000000000e+02,0.000000000000000000e+00,1.492537313432835688e-01,0.000000000000000000e+00
3.000000000000000000e+01,-7.700000000000000000e+02,0.000000000000000000e+00,4.975124378109452294e-02,0.000000000000000000e+00
5.000000000000000000e+01,-7.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+01,-7.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+01,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
1.100000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,4.975124378109452294e-01,0.000000000000000000e+00
1.300000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
1.500000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
1.700000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
1.900000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
2.100000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
2.300000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
2.500000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,9.950248756218904589e-02,0.000000000000000000e+00
2.700000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
2.900000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
3.100000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
3.300000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
3.500000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
3.700000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
3.900000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,1.492537313432835688e-01,0.000000000000000000e+00
4.100000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,1.492537313432835688e-01,0.000000000000000000e+00
4.300000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
4.500000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
4.700000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
4.900000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
5.100000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
5.300000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
5.500000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
5.700000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
5.900000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
6.100000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
6.300000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
6.500000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
6.700000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
6.900000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,4.975124378109452294e-01,0.000000000000000000e+00
7.100000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,5.472636815920397524e-01,0.000000000000000000e+00
7.300000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
7.500000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
7.700000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
7.900000000000000000e+02,-7.700000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
-7.900000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.700000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.500000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.300000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.100000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
-6.900000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,4.975124378109452294e-01,0.000000000000000000e+00
-6.700000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
-6.500000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-6.300000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
-6.100000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,4.477611940298507065e-01,0.000000000000000000e+00
-5.900000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
-5.700000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
-5.500000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,4.975124378109452294e-01,0.000000000000000000e+00
-5.300000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-5.100000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-4.900000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
-4.700000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,4.975124378109452294e-01,0.000000000000000000e+00
-4.500000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-4.300000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-4.100000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,1.492537313432835688e-01,0.000000000000000000e+00
-3.900000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,9.950248756218904589e-02,0.000000000000000000e+00
-3.700000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.500000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.300000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,9.950248756218904589e-02,0.000000000000000000e+00
-3.100000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
-2.900000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
-2.700000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
-2.500000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
-2.300000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,4.477611940298507065e-01,0.000000000000000000e+00
-2.100000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,4.477611940298507065e-01,0.000000000000000000e+00
-1.900000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
-1.700000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
-1.500000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-1.300000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,6.467661691542287983e-01,0.000000000000000000e+00
-1.100000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
-9.000000000000000000e+01,-7.500000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-7.000000000000000000e+01,-7.500000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
-5.000000000000000000e+01,-7.500000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
-3.000000000000000000e+01,-7.500000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
-1.000000000000000000e+01,-7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+01,-7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+01,-7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+01,-7.500000000000000000e+02,0.000000000000000000e+00,9.950248756218904589e-02,0.000000000000000000e+00
9.000000000000000000e+01,-7.500000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
1.100000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
1.300000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
1.500000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
1.700000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
1.900000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.482587064676617161e-01,0.000000000000000000e+00
2.100000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
2.300000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
2.500000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,1.990049751243780918e-01,0.000000000000000000e+00
2.700000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,4.477611940298507065e-01,0.000000000000000000e+00
2.900000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
3.100000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
3.300000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
3.500000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
3.700000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
3.900000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
4.100000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
4.300000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.487562189054726147e-01,0.000000000000000000e+00
4.500000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
4.700000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
4.900000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,3.980099502487561836e-01,0.000000000000000000e+00
5.100000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
5.300000000000000000e+02,-7.500000000000000000e+02,0.000000000000000000e+00,2.985074626865671377e-01,0.000000000000000000e+00
